order_id,trader_id,trader_type,symbol,side,price,quantity,status,timestamp
522cfaa1-7da7-4da4-8734-db3f74d5db5b,normal_008,normal,TSLA,buy,354.793248,232,NEW,2026-04-14T20:28:53.066384+00:00
8bc3ce83-b5c8-410a-bd18-b6273f22b059,spoofer_001,spoofer,AAPL,buy,246.038512,480,FILLED,2026-04-14T20:28:53.063913+00:00
142ea7a2-5828-4fe0-a02d-a5e8d0a6b4cc,spoofer_001,spoofer,AAPL,sell,245.549746,8565,CANCELLED,2026-04-14T20:28:53.063873+00:00
45db9ee6-b8f9-444c-bee3-e249b746315a,spoofer_001,spoofer,AAPL,sell,244.852858,10008,CANCELLED,2026-04-14T20:28:53.063854+00:00
6a79b769-0b65-452b-bb88-facb90a34d57,spoofer_001,spoofer,AAPL,sell,244.962221,7477,CANCELLED,2026-04-14T20:28:53.063832+00:00
fcd15f27-1459-4f55-8b0d-9006b8ba95e8,spoofer_001,spoofer,AAPL,sell,246.160331,9442,CANCELLED,2026-04-14T20:28:53.063797+00:00
0cc0fb7a-9cb0-42ed-9086-bb002c249503,spoofer_001,spoofer,AAPL,sell,246.556965,11093,CANCELLED,2026-04-14T20:28:53.063618+00:00
142ea7a2-5828-4fe0-a02d-a5e8d0a6b4cc,spoofer_001,spoofer,AAPL,sell,245.549746,8565,NEW,2026-04-14T20:28:51.721795+00:00
45db9ee6-b8f9-444c-bee3-e249b746315a,spoofer_001,spoofer,AAPL,sell,244.852858,10008,NEW,2026-04-14T20:28:51.721654+00:00
6a79b769-0b65-452b-bb88-facb90a34d57,spoofer_001,spoofer,AAPL,sell,244.962221,7477,NEW,2026-04-14T20:28:51.721564+00:00
2d09ac85-1cc4-4e62-9b92-2d9a48b96d64,spoofer_001,spoofer,AAPL,sell,245.487308,9451,NEW,2026-04-14T20:28:51.721451+00:00
fcd15f27-1459-4f55-8b0d-9006b8ba95e8,spoofer_001,spoofer,AAPL,sell,246.160331,9442,NEW,2026-04-14T20:28:51.721232+00:00
0cc0fb7a-9cb0-42ed-9086-bb002c249503,spoofer_001,spoofer,AAPL,sell,246.556965,11093,NEW,2026-04-14T20:28:51.720143+00:00
52464938-6fcd-4adb-8b50-7d291246ed87,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66935.199734,318,FILLED,2026-04-14T20:28:49.708053+00:00
