trade_id,order_id,trader_id,trader_type,symbol,side,price,quantity,timestamp
07795f88-0021-4c71-83e8-1e00683065b1,,spoofer_001,spoofer,AAPL,buy,246.038512,480,2026-04-14T20:28:53.063982+00:00
07795f88-0021-4c71-83e8-1e00683065b1,,market,market,AAPL,sell,246.038512,480,2026-04-14T20:28:53.063982+00:00
0403e38a-71f8-44bb-a0c3-56f7e2313716,,market,market,BINANCE:BTCUSDT,buy,66935.199734,318,2026-04-14T20:28:49.708166+00:00
0403e38a-71f8-44bb-a0c3-56f7e2313716,,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66935.199734,318,2026-04-14T20:28:49.708166+00:00
32267025-1321-4e25-86fd-9e3da202cb76,,market,market,BINANCE:BTCUSDT,buy,66961.794347,318,2026-04-14T20:28:47.394261+00:00
32267025-1321-4e25-86fd-9e3da202cb76,,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66961.794347,318,2026-04-14T20:28:47.394261+00:00
75cd3f98-2c2e-4cb9-99cd-c58159a3e6b8,,wash_001a,wash_trader,TSLA,buy,354.159447,678,2026-04-14T20:28:47.395420+00:00
75cd3f98-2c2e-4cb9-99cd-c58159a3e6b8,,wash_001b,wash_trader,TSLA,sell,354.159447,678,2026-04-14T20:28:47.395420+00:00
b15a4ccf-83b7-45e5-99eb-89f8543151e8,,market,market,AAPL,buy,245.73033,512,2026-04-14T20:28:44.110972+00:00
b15a4ccf-83b7-45e5-99eb-89f8543151e8,,normal_012,normal,AAPL,sell,245.73033,512,2026-04-14T20:28:44.110972+00:00
8e189723-ff9f-4755-9699-64628947ee94,,spoofer_002,spoofer,TSLA,buy,354.431458,487,2026-04-14T20:28:40.096216+00:00
8e189723-ff9f-4755-9699-64628947ee94,,market,market,TSLA,sell,354.431458,487,2026-04-14T20:28:40.096216+00:00
8ea5e3a5-80d3-41d7-94e2-edaf598a72c7,,normal_006,normal,BINANCE:XRPUSDT,buy,1.333196,108,2026-04-14T20:28:39.065979+00:00
8ea5e3a5-80d3-41d7-94e2-edaf598a72c7,,market,market,BINANCE:XRPUSDT,sell,1.333196,108,2026-04-14T20:28:39.065979+00:00
295107ee-474b-4f55-8e44-0533cf9b79db,,market,market,BINANCE:BTCUSDT,buy,66957.59698,318,2026-04-14T20:28:39.062528+00:00
295107ee-474b-4f55-8e44-0533cf9b79db,,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66957.59698,318,2026-04-14T20:28:39.062528+00:00
73ffa884-027e-483e-941d-5797357a9879,,normal_020,normal,BINANCE:XRPUSDT,buy,1.332452,632,2026-04-14T20:28:36.892417+00:00
73ffa884-027e-483e-941d-5797357a9879,,market,market,BINANCE:XRPUSDT,sell,1.332452,632,2026-04-14T20:28:36.892417+00:00
fc44d3e5-685b-4c35-9126-267233e85c2e,,market,market,BINANCE:ETHUSDT,buy,2040.650564,170,2026-04-14T20:28:34.886946+00:00
fc44d3e5-685b-4c35-9126-267233e85c2e,,normal_003,normal,BINANCE:ETHUSDT,sell,2040.650564,170,2026-04-14T20:28:34.886946+00:00
0399aca5-03d5-4315-a917-9f86afceb1a0,,market,market,TSLA,buy,354.213315,487,2026-04-14T20:28:34.882931+00:00
0399aca5-03d5-4315-a917-9f86afceb1a0,,spoofer_002,spoofer,TSLA,sell,354.213315,487,2026-04-14T20:28:34.882931+00:00
fc3c7056-bb83-4c61-9a93-bc194b6643fc,,wash_002a,wash_trader,BINANCE:XRPUSDT,buy,1.332361,178,2026-04-14T20:28:32.820549+00:00
fc3c7056-bb83-4c61-9a93-bc194b6643fc,,wash_002b,wash_trader,BINANCE:XRPUSDT,sell,1.332361,178,2026-04-14T20:28:32.820549+00:00
e3c61bfd-4dc2-439c-b33d-2a597d2d01dd,,market,market,TSLA,buy,353.938038,487,2026-04-14T20:28:31.636360+00:00
e3c61bfd-4dc2-439c-b33d-2a597d2d01dd,,spoofer_002,spoofer,TSLA,sell,353.938038,487,2026-04-14T20:28:31.636360+00:00
3763af03-f129-4c32-af6c-239d6ef4797c,,wash_002a,wash_trader,BINANCE:XRPUSDT,buy,1.332211,181,2026-04-14T20:28:29.808925+00:00
3763af03-f129-4c32-af6c-239d6ef4797c,,wash_002b,wash_trader,BINANCE:XRPUSDT,sell,1.332211,181,2026-04-14T20:28:29.808925+00:00
511cc696-9cc6-4045-97db-8e7c0b1bbdd6,,spoofer_001,spoofer,AAPL,buy,245.806061,480,2026-04-14T20:28:29.808091+00:00
511cc696-9cc6-4045-97db-8e7c0b1bbdd6,,market,market,AAPL,sell,245.806061,480,2026-04-14T20:28:29.808091+00:00
88664313-58c1-4e4c-98bc-3b608675d9c7,,market,market,TSLA,buy,354.277779,487,2026-04-14T20:28:28.025279+00:00
88664313-58c1-4e4c-98bc-3b608675d9c7,,spoofer_002,spoofer,TSLA,sell,354.277779,487,2026-04-14T20:28:28.025279+00:00
0f65d766-9743-4ce7-acf7-c1c9f3edeade,,wash_002a,wash_trader,BINANCE:XRPUSDT,buy,1.332046,169,2026-04-14T20:28:27.157217+00:00
0f65d766-9743-4ce7-acf7-c1c9f3edeade,,wash_002b,wash_trader,BINANCE:XRPUSDT,sell,1.332046,169,2026-04-14T20:28:27.157217+00:00
4b68ff48-78a1-44b3-9ea8-54890d0be9a9,,spoofer_002,spoofer,TSLA,buy,354.301956,487,2026-04-14T20:27:33.362044+00:00
4b68ff48-78a1-44b3-9ea8-54890d0be9a9,,market,market,TSLA,sell,354.301956,487,2026-04-14T20:27:33.362044+00:00
6516b034-8129-46f3-bbab-de17141ec584,,normal_017,normal,BINANCE:BTCUSDT,buy,66835.651413,174,2026-04-14T20:27:31.221421+00:00
6516b034-8129-46f3-bbab-de17141ec584,,market,market,BINANCE:BTCUSDT,sell,66835.651413,174,2026-04-14T20:27:31.221421+00:00
5600c7f8-1350-4145-ab1c-c827671fa2a5,,spoofer_003,spoofer,BINANCE:BTCUSDT,buy,66830.671053,318,2026-04-14T20:27:31.218262+00:00
5600c7f8-1350-4145-ab1c-c827671fa2a5,,market,market,BINANCE:BTCUSDT,sell,66830.671053,318,2026-04-14T20:27:31.218262+00:00
a13780fa-5a34-4973-ad41-f2854ed1a7f2,,market,market,BINANCE:BTCUSDT,buy,66931.418865,318,2026-04-14T20:27:25.447926+00:00
a13780fa-5a34-4973-ad41-f2854ed1a7f2,,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66931.418865,318,2026-04-14T20:27:25.447926+00:00
d3d49c08-7c3f-46f1-be52-f80fb43a6264,,wash_001b,wash_trader,TSLA,buy,354.278569,685,2026-04-14T20:27:25.448256+00:00
d3d49c08-7c3f-46f1-be52-f80fb43a6264,,wash_001a,wash_trader,TSLA,sell,354.278569,685,2026-04-14T20:27:25.448256+00:00
93811a67-35f0-4dfe-88db-ec047f49e384,,spoofer_002,spoofer,TSLA,buy,353.869324,487,2026-04-14T20:27:23.395109+00:00
93811a67-35f0-4dfe-88db-ec047f49e384,,market,market,TSLA,sell,353.869324,487,2026-04-14T20:27:23.395109+00:00
a5af23ef-b4ce-4954-a5e3-670ddfe14207,,market,market,BINANCE:BTCUSDT,buy,66859.924286,318,2026-04-14T20:27:20.396295+00:00
a5af23ef-b4ce-4954-a5e3-670ddfe14207,,spoofer_003,spoofer,BINANCE:BTCUSDT,sell,66859.924286,318,2026-04-14T20:27:20.396295+00:00
6026603a-01f0-45ae-8ba1-dd42c568b890,,normal_020,normal,BINANCE:XRPUSDT,buy,1.334773,427,2026-04-14T20:27:17.060153+00:00
6026603a-01f0-45ae-8ba1-dd42c568b890,,market,market,BINANCE:XRPUSDT,sell,1.334773,427,2026-04-14T20:27:17.060153+00:00
96ddcc1f-b535-46d6-ad2a-e10ad8d957f5,,market,market,TSLA,buy,353.959156,360,2026-04-14T20:27:15.055575+00:00
96ddcc1f-b535-46d6-ad2a-e10ad8d957f5,,normal_005,normal,TSLA,sell,353.959156,360,2026-04-14T20:27:15.055575+00:00
9ddb7bc3-2b0f-426b-9219-ea5f397b4e18,,spoofer_002,spoofer,TSLA,buy,354.164249,487,2026-04-14T20:27:15.024849+00:00
